Lugia VSTAR,3,Pokemon,SIT,139
Lugia V,3,Pokemon,SIT,138
Lumineon V,2,Pokemon,PRSWSH,250
Wyrdeer V,1,Pokemon,ASR,134
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Flutter Mane,1,Pokemon,TEF,78
Minccino,3,Pokemon,TEF,136
Cinccino,3,Pokemon,TEF,137
Archeops,4,Pokemon,SIT,147
Brilliant Blender,1,Trainer,,
Nest Ball,4,Trainer,,
Ultra Ball,4,Trainer,,
Vitality Band,1,Trainer,,
Canceling Cologne,1,Trainer,,
Boss's Orders,4,Trainer,,
Arven,4,Trainer,,
Professor's Research,2,Trainer,,
Iono,2,Trainer,,
V-Guard Energy,1,Energy,,
Double Turbo Energy,4,Energy,,
Jet Energy,4,Energy,,
Gift Energy,4,Energy,,
Mist Energy,3,Energy,,
