Radiant Greninja,1,Pokemon,ASR,46
Liepard,3,Pokemon,BRS,91
Sinistch ex,3,Pokemon,TWM,189
Poltchageist,2,Pokemon,TWM,20
Poltchageist,1,Pokemon,TWM,171
Purrloin,3,Pokemon,PAR,114
Squawkabilly ex,1,Pokemon,PAL,169
Grant,1,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Raifort,4,Supporter,,
Carmine,3,Supporter,,
Irida,1,Supporter,,
Buddy-Buddy Poffin,3,Item,,
Brilliant Blender - ACESPEC,1,Item,,
Earthen Vessel,4,Item,,
Switch,1,Item,,
Ultra Ball,4,Item,,
Pal Pad,1,Item,,
Super Rod,2,Item,,
Night Stretcher,1,Item,,
Pokestop,2,Stadium,,
Basic Grass Energy,16,Energy,,
