Ditto,1,Pokemon,PAF,201
Fan Rotom,2,Pokemon,SCR,118
Hoothoot,3,Pokemon,SCR,114
Hoothoot,1,Pokemon,PRE,77
Noctowl,4,Pokemon,SVP,115
Latias ex,1,Pokemon,SSP,76
Lillie's Clefairy ex,1,Pokemon,JTG,56
Fezandipiti ex,1,Pokemon,SFA,38
Terapagos ex,3,Pokemon,PRE,92
Cornerstone Mask Ogerpon,1,Pokemon,TWM,112
Bouffalant,3,Pokemon,SVP,136
Munkidori,2,Pokemon,TWM,95
Boss's Orders,2,Supporter,,
Crispin,3,Supporter,,
Iono,3,Supporter,,
Professor's Research,1,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Energy Switch,1,Item,,
Night Stretcher,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,3,Item,,
Buddy-Buddy Boffin,1,Item,,
Counter Catcher,1,Item,,
Glass Trumpet,1,Item
Scoop Up Cyclone - ACESPEC,1,Item,,
Area Zero Underdepths,3,Stadium,,
Bravery Charm,2,Tool,,
Basic Darkness Energy,4,Energy,,
Basic Psychic Energy,3,Energy,,
Basic Fighting Energy,2,Energy,,
