Duraludon,4,Pokémon,SCR,106
Archaludon ex,4,Pokémon,SSP,130
Origin Forme Dialga V,2,Pokémon,ASR,113
Origin Forme Dialga VSTAR,2,Pokémon,ASR,114
Relicanth,1,Pokémon,TEF,173
Radiant Greninja,1,Pokémon,ASR,46
Fezandipiti ex,1,Pokémon,SFA,38
Professor's Research,4,Supporter,,
Iono,3,Supporter,,
Boss's Orders,3,Supporter,,
Professor Turo's Scenario,2,Supporter,
Thorton,1,Supporter,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Earthen Vessel,3,Item,,
Night Stretcher,4,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,2,Item,,
Counter Catcher,1,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Jamming Tower,2,Stadium,,
Basic Metal Energy,10,Energy,,
