Drakloak,4,Pokemon,TWM,129
Dreepy,4,Pokemon,TWM,128
Dragapult ex,2,Pokemon,TWM,130
Toedscool,1,Pokemon,PAR,16
Toedscruel,1,Pokemon,PAR,17
Radiant Alakazam,1,Pokemon,SIT,59
Iron Thorns ex,4,Pokemon,TWM,77
Arven,4,Supporter,,
Boss's Orders,2,Supporter,,
Iono,2,Supporter,,
Crispin,4,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Night Stretcher,2,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,1,Item,,
Buddy-Buddy Poffin,1,Item,,
Lost Vacuum,1,Item,,
Counter Catcher,1,Item,,
Pokegear 3.0,4,Item,,
Nest Ball,1,Item,,
Tera Orb,1,Item,,
Precious Trolley - ACESPEC,1,Item,,
Rescue Board,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Future Booster Energy Capsule,1,Tool,,
Basic Lightning Energy,3,Energy,,
Basic Fire Energy,4,Energy,,
Basic Psychic Energy,4,Energy,,
